date,Afghanistan,Algeria,Andorra,Angola,Argentina,Aruba,Australia,Austria,Bahmas,Bahrain,Bangladesh,Barbados,Belgium,Belize,Bermuda,Boliva,Bosnia,Brazil,Brunei,Bulgaria,Canada,Cayman Islands,Chile,China,Columbia,Congo,Costa Rica,Cyprus,Czech Republic,Denmark,Dominican Republic ,Ecuador,Egypt ,El Salvador ,Finland,France,Georgia,Germany,Ghana,Greece,Grenada,Guadeloupe,Guatemala,Guyana,Haiti,Honduras,Hong Kong,Hungary ,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy ,Ivory Coast,Jamica,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Latvia,Lebanon,Liberia,Macao,Macedonia,Malaysia,Maldive Islands,Mauritius,Mexico,Morocco,Mozambique,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Nigeria,Norway,Oman,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,St. Kitts-Nevis,St. Lucia,St. Vincent & the Grenadines,Surinam,Sweden,Switzerland,Syria,Taiwan,Tanzania,Thailand,Trinidad & Tobago,Tunisia,Turkey,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Yemen,Zambia,Zimbabwe
1962,683,,,5246,5804,,176466,4635,2020,,,,18654,,,36233,,11804,,,1674717,,11383,,174886,839,10444,2404,,106860,46522,14957,,21923,50080,106621,,95654,679,8063,,3007,20902,9479,,22011,53345,,4253,2989,2770,555,,6795,3781,67324,,9365,45617,9884,,38119,,,225225,106350,,,,,,10563,,6144,,7125,764,36800,20108,1758,30106,,6891,4199,3456,15874,111218,8889,,3841,35615,,,22481,3112,,2115,16205,,,45100,,27024,49744,,,,13302,30360,8784,17865,,,71160,2583,,,,,106537,41569,35513,,,14285
1963,,,,797,4351,,167444,5520,4821,,,,18554,,929,32324,,9804,,,1904909,,2263,,98705,,8066,,,74636,36263,5132,,49917,48419,172063,,80479,,30878,,7531,9301,,,20022,64123,,2035,4138,11489,59746,,13929,6690,96714,,14300,26244,1627,,49615,,,56826,102602,,,785,,1139,23785,,5843,,4259,2544,58154,15226,1327,32013,,21082,8390,2427,5638,71832,27796,,7550,19615,,,13733,1491,,,9043,,,52606,,68985,967,,,,19552,63753,13466,5687,,,93735,16300,,,,,71662,36046,59214,,,19496
1973,,,,,1270,,2629,6541,,,,,145253,,,,,1050,,,1308913,,,,9035,,,,,,,,,7024,4346,114451,,99811,,2114,,,,,,,,,870,,3135,,,,,4935,,,439301,,,,,,,,,,,,,4941,,2049,,2149,4014,4750,,,,,,,,,,,,,,,,,,,,2587,,,6482,,1424,,,,,,47651,,,14699,,2644,,,,,,27277,,2737,,,
1974,,,,,2384,,96393,4466,2329,,,,244752,,,,,,,,1898770,,,,1312,,,,,7980,3562,,,2464,23506,80900,,114942,,1165,,,2399,,,2295,876,,4414,,,,,,1500,67583,,821,60801,,,,5002,,11947,,,,2976,,,2562,,2099,,3413,832,11779,,,1414,,,1813,,983,,,,,,,,,,,,571,,,24792,2000,4922,,,,,13125,45378,1541,,16425,643,5440,,,4739,,4204,74746,,10712,,,
1975,,,,,4008,,20145,10906,,1535,,1600,27373,,,,,,,,3176135,,1229,,,,3283,,,6500,,,,,446810,80693,,186464,,5564,,1040,2384,,1010,1795,2417,,12069,,,39789,,,11889,77576,,2100,852533,,,,,,4802,,,,1187,,,11295,,,,2992,,1165,5804,,18305,,,3385,1006,,,,26130,,,,,,,,,623,,,57701,,4370,,599,,,,90145,12928,,,,115117,,,,,2627,137264,,1059,,3000,
1979,,1285,,,318374,,5967738,171268,20107,27340,,4877,1550145,185236,6518,367789,,64186,33849,,1.90E+07,2251,368046,1113,594713,40011,181090,8525,,921422,368254,279248,418399,36843,180243,6954429,,1.00E+07,84108,859113,3678,68849,310627,10055,,676080,322790,,17815,2348,902836,20380,,70477,1346304,1051134,1006,72857,4784987,349712,,,1036280,,459208,68739,,,154956,,7570,706805,34954,,,251916,230958,424554,42567,176754,782284,17038,103926,428762,52404,211449,141688,319705,,184895,35639,,,44765,2582,29059,,189672,,,416346,2405597,1433335,32957,4849,,,176533,770215,396205,1424,379614,11340,2630603,30445,,63898,,123130,2197009,121087,1117674,,40993,
1981,,1097,,2783,1081601,,8473009,418381,41501,16134,199592,15872,1784976,773204,7784,105301,,75604,343849,,24508764,4843,439320,1741,1785754,6292,125669,90964,,2502998,429997,202711,211289,48058,285321,7709914,,10357113,157440,722970,,15684,181995,63916,40601,477417,159481,,62907,28882,129560,,,737021,2303284,1937970,1024,131947,3968928,44404,,,1021829,,47224,6045,,,838205,,6102,516725,129763,,,111158,257166,613349,7201,742936,301250,13489,82618,441116,39682,256883,894373,405089,2001,88194,257506,,,662623,1540,263355,1931,489203,,,,6356013,1317518,,47610,,,130559,1985884,469953,,1425917,43339,5338339,,1500,10321,,111507,3258369,721516,2311795,,43996,100510
1982,,46673,,,360042,,8418619,593621,33412,31502,3360,9311,5105488,336149,3402,122131,,7227,24626,,19039774,1669,597083,85415,675862,46062,43057,590,,1687292,419749,251880,107404,1919,384886,7002434,,12684373,5638,1079158,,32056,164416,22527,36350,109029,338290,,80672,5358,2829798,,,15564,738962,1391274,3866,311704,3402839,190321,,678,383391,,,,,,255827,,4383,566015,,,4791,148689,191626,924557,2936,244302,476729,11262,144558,460558,1687,166828,1944979,100381,,175363,55000,,,664299,2019,12519,,360634,,,741900,11494503,788639,56690,503,,,110670,2212363,619897,,6891252,104865,5919790,88988,,114505,,275128,2498461,251156,179376,,81833,213780
1983,575,10113,,,345413,,4474055,325346,69693,3894,,5747,443135,34770,126382,3775,,29324,30294,,18441280,,105138,29265,891437,30613,91030,3779,,1168862,221463,80846,1541440,22611,193466,4745469,,10434341,12675,755383,,6134,276427,556,1794,277627,295632,2399,22373,32930,246099,718,60139,101936,426466,1973470,2546,78036,2855878,53254,,,697488,,7637,175350,,,211694,,3497,229932,,1825,26750,253923,223782,560565,14869,599,395400,1225433,304657,410981,2000,141112,853408,82561,,744860,6366,,,1113225,2420,20451,949,367705,,,371682,8296509,785080,63026,2158,,,219994,757106,572875,,823147,73464,2930639,96049,7270,134057,,169222,1615066,11685,1011897,143060,61315,199994
1984,,11550,,541,129824,,5621682,272557,63205,,,27462,108548,19682,21489,44302,,21061,,,19581796,7542,76555,22423,5683115,,68379,51302,,1500579,288562,8152,954910,224430,168669,3020534,,9635033,8811,771630,,,276186,2294,38507,413468,512354,,28199,21304,3136983,,,21023,2472287,1179303,1137,216018,3666851,163473,,3552,411730,,16352,65555,,,395584,,2849,669676,,,26750,37649,67146,851654,11399,983,352932,104576,166235,262460,1983,1574,238236,15937,,25128,14237,,,3801058,,6473,,1141308,,,304109,2587696,192837,13831,6876,,,32363,975644,363315,,423508,2882,1930697,75268,18399,72447,,151766,2238006,73607,1000539,186268,,76382
1985,,78604,,,162507,,4881218,226773,62331,3040,66588,2458,380667,1090,1322,93244,,129753,,,19170120,,29949,370339,148410,,119210,2297,,1451219,182993,99783,481045,703493,151285,1988470,,8013179,619018,,,,8825,1965,26906,1143053,559451,,10711,7506,172159,,,96805,248725,514093,,89571,4177175,153318,,,385279,,4531,98845,,,789633,1649,4468,1631408,56833,,,59329,,708758,,194445,164677,937827,84218,212388,,,174414,6391,,454206,,,,223795,,52500,,1784289,,,481930,4246902,320988,267485,49326,,,78583,618697,434234,,2705439,97317,2851543,71636,18031,118809,,47820,880009,83932,595151,2100,23317,86538
1986,,10500,,2579,251024,,3496294,493594,28281,13402,,1004,863911,17551,11071,225722,,10100,24052,,18138711,3112,64177,18435,1051180,,109962,,,1061596,295055,171545,778887,,6324953,2850912,,6747298,3000,251995,,,42771,,2927,1576526,88609,,11074,47045,24000,,,13675,640471,836029,8029,125848,3334308,209550,,,90328,,9033,,,,376541,,,2705643,,,17050,57038,,329540,,77205,330735,19527,145004,514717,151251,12500,279193,93251,,363032,,,,391670,,,,221377,,,380037,2856611,681874,31918,3010,,,2399,380218,368944,,2706602,,751925,45549,18031,743680,,11976,2248782,75822,590544,13149,,159752
1987,,,,,451012,,3143746,1121770,24396,55016,,15103,7335480,6512,7878,432221,,551428,,,25444572,15601,94322,157180,1125873,40725,199870,2673,,1546178,726829,498003,1456674,13757,822903,532820,,7569164,19800,501978,,,86856,14072,30266,2662839,1447161,,21953,56096,1034151,,1800,17903,581179,1730795,,264473,2375844,642835,,,279286,,,,7274,,722812,2051,,1467379,,,,329495,16128,741445,,2040,497905,78209,311484,315506,3641,,7419792,206987,,391025,3872,,,631501,,144003,52776,577960,,,169874,2793006,970642,69851,8885,,,,604278,1802786,,2630869,12000,3440525,78917,48867,115440,,196962,3826974,473170,1173485,5611,,257970
1988,,,,,962307,,5561235,1347661,55794,28860,,16565,5564682,7982,16683,719078,,204791,109007,,30308365,1770,124086,5129,822853,,141433,3269,,1674720,885614,1132930,653701,34522,1074169,6879158,,17372868,,994977,,,405996,13284,,1346699,1367933,,117983,78069,,,,37627,921332,2266987,22628,35291,3866626,155293,,,790778,,42113,,11787,,647864,,,5986276,2281,,,714430,,873904,,,1028135,57714,840222,8834,3320,,3038750,462668,,796881,150235,,,350576,,32231,,606838,,,158998,2327873,1385836,122192,,1574,1565,4257,1255648,2307428,,8506210,66720,4361652,48819,,309729,,26676,6446090,408763,1318092,2250,14750,103723
1989,,2126547,,,2162000,,36031350,1590416,70570,5962443,4175,24180,37283432,78937,30687,617245,,1426161,2699116,,1.35E+08,,140949,1729540,1224899,4500,285421,,,4853462,1525706,1066506,94970966,1618885,2208496,30182278,,4.53E+08,,27375800,2279,,1191321,13776,52000,10167287,1667393,,139747,137824,2993670,47180,,49646,57312702,30975386,,551127,2.37E+08,11626449,,495398,5202400,,132360,18705,16143,,,13972,,6936857,,,58750,85290910,,2664813,,89656,6309591,420238,38934684,768870,23324,,453468,5261965,,11633764,94936,,,30846855,,264162,,22361050,,,47829,88913584,8733671,116036,,9484,5857,3120,22672068,16013310,2106,1.26E+08,4899,1816601,24753,2392846,16917793,,28688991,63663507,643114,18362265,391023,,214343
1990,,283024,2770,,2551789,29705,75978887,3192938,49435,23594638,,75888,62861181,56427,45388,1263521,,2227011,409793,,1.75E+08,14264,122309,1588521,4332066,13399,361103,,,6069998,1946623,2687726,1.56E+08,12513507,2679189,24427608,,3.52E+08,9379,36233521,27413,12042,4157282,,10582,3220867,1395419,,241303,54571629,1253461,,,60247,68171478,41495435,,333327,1.56E+08,5023231,,1549785,2263091,,,18953,38501,,1864991,152368,,6756856,2211986,,46500,1.73E+08,7570,2040779,,2611330,5670395,6490399,94657480,1455091,84800,231677,1916629,3733303,,17809140,15129,,107745,42021896,10412,736789,,19727963,,,598619,1.97E+08,29978461,,5230848,15422,,476412,29554627,34859203,,1.73E+08,3199,19922164,40843,526529,43310329,,31640549,1.12E+08,382381,11474239,,69227,447689
1991,,2.00E+06,4626,,5.00E+06,,2.00E+07,5.00E+06,44792,1.00E+07,,120467,5.00E+07,99305,45134,541440,,2.00E+06,248015,,2.00E+08,,475483,2.00E+06,4.00E+06,,247259,13479,,8.00E+06,1.00E+06,1.00E+06,1.00E+08,2.00E+07,2.00E+06,3.00E+07,,5.00E+08,79251,3.00E+07,,,242074,29332,6360,4.00E+06,2.00E+06,20847,149959,135500,1.00E+06,,,76665,8.00E+07,3.00E+07,,635642,3.00E+08,2.00E+06,,348822,3.00E+07,,,,44193,,2.00E+06,,,7.00E+06,3.00E+06,10263,2770,6.00E+07,29403,2.00E+06,101561,351495,2.00E+07,5.00E+06,1.00E+07,1.00E+06,1.00E+06,1.18E+05,2.00E+06,8.00E+06,,5.00E+06,22871,,,1.00E+08,444987,54059,,6.00E+06,,,2.00E+06,2.00E+08,2.00E+07,,,4233,,1150,9.00E+06,6.00E+07,,2.00E+08,4323,5.00E+07,60189,8.00E+06,4.00E+07,,2.00E+08,1.00E+08,920457,5.00E+06,,5290,482997
1992,,1.00E+06,67154,,6.00E+06,2919,3.00E+07,3.00E+06,155907,4.00E+07,1.36E+05,,7.00E+07,2.53E+05,19777,1.00E+06,,1.00E+06,,,2.00E+08,16000,2.00E+06,2385815,8.00E+06,,297520,3250,,5.00E+07,441475,2.00E+06,1.00E+08,5.00E+06,1.00E+07,8.00E+07,,4.00E+08,73294,6.00E+07,160115,,624236,44856,,6.00E+06,2.00E+06,20559,83243,16828,8.00E+06,,,73500,4.00E+07,2.00E+07,,272129,3.00E+08,4.00E+06,,19696,2.00E+07,,879327,,39270,,6.00E+06,,,2.00E+07,1.00E+07,,26500,1.00E+08,62358,1.00E+06,209314,101818,1.00E+07,221384,2.00E+06,7.38E+05,297577,3.95E+05,3.00E+06,5.00E+06,,3.00E+07,2.70E+04,,14620,1.00E+08,1.00E+06,8028,,9.00E+06,,,629167,1.00E+08,1.00E+08,22518,58128,21809,31964,19180,4.00E+06,3.00E+07,,1.00E+08,,3.00E+07,70050,3.00E+06,8.00E+07,,6.00E+07,9.00E+07,797036,9.00E+06,87473,18310,19730
1993,,,23674,,4.00E+06,4379,3.00E+07,4.00E+06,75340,4.00E+07,1.65E+05,1.23E+05,7.00E+07,4.00E+05,2.56E+04,3.00E+06,,1.00E+06,2.00E+06,141904,2.00E+06,6949,989062,3.00E+06,8.00E+06,,475698,85888,438705,8.00E+06,3.00E+06,2.00E+06,1.00E+06,7.95E+05,955548,2.00E+07,,2.00E+08,126725,4.00E+07,4772,8250,1.00E+06,16799,,908165,3.00E+06,8168,254105,799142,146256,,,131874,6.00E+07,3.00E+07,,677698,4.00E+08,2.00E+07,260374,66198,4.00E+07,,765444,,226145,,2.00E+06,,,3.00E+07,7.00E+06,,42576,6.00E+07,115791,4.00E+06,612841,186831,2.00E+07,3.00E+06,4.00E+06,1.00E+06,3.56E+05,2.00E+06,1.00E+06,4.00E+06,8.85E+04,6.00E+06,2.00E+07,,7.53E+05,1.00E+08,,,18166,5.00E+07,,58699,534900,5.00E+07,6.00E+07,,,,19547,10628,2.00E+07,3.00E+07,,3.00E+08,1.60E+04,2.00E+07,122429,2.00E+06,1.00E+08,,5.00E+07,8.00E+07,565478,6.00E+06,,30488,17248
1994,,,3299,,3.00E+06,54535,6.00E+07,3.00E+06,4.00E+06,9.00E+06,3.15E+05,,7.00E+07,1.64E+05,62452,1.00E+06,,4.00E+06,680320,139113,2.00E+08,11906,956543,614543,1.00E+07,,990620,,444328,7.00E+06,3.00E+06,1.00E+06,2.00E+08,6.00E+06,1.00E+06,3.00E+07,24975,2.00E+08,247203,3.00E+07,23120,,2.00E+06,33599,,2.00E+06,2.00E+06,19840,59635,2.00E+06,599244,,,199606,4.00E+07,3.00E+07,,568965,3.00E+06,4.00E+06,7.57E+05,4073,7.00E+07,,4.00E+06,,,,1.00E+06,38032,,3.00E+07,2.00E+06,,28384,8.00E+07,94027,2.00E+06,147975,39350,1.00E+07,1.00E+06,2.00E+06,8.20E+05,6.75E+04,1.00E+07,5.35E+05,6.00E+06,2872,3.00E+06,,10250,711297,2.00E+08,32032,,66975,2.00E+07,215943,,929687,8.00E+07,3.00E+07,,,,,38014,3.00E+07,1.00E+07,,3.00E+08,5.26E+04,4.00E+07,163172,3.00E+06,4.00E+07,29807,2.00E+07,4.00E+07,1.00E+06,3.00E+06,,84837,5000
1995,,,13146,,2.00E+07,193270,8.00E+07,7.00E+06,80579,9.00E+06,1.39E+05,5.30E+04,1.00E+08,7.07E+05,1.00E+05,3.00E+06,710000,8.00E+06,2.00E+06,8.55E+05,2.00E+08,21798,5.00E+06,3.00E+06,1.00E+07,,2.00E+06,83031,2.00E+06,1.00E+07,3.00E+06,4.00E+06,9.00E+07,1.00E+07,7.00E+06,7.00E+07,600000,2.00E+08,387874,1.00E+08,26800,,4.00E+06,242090,464301,6.00E+06,5.00E+06,1.00E+06,1.95E+05,4.00E+06,1.32E+05,,,4.70E+05,9.00E+07,3.00E+07,1.67E+04,3.25E+05,3.00E+08,6.00E+06,,1.02E+05,2.00E+08,1.00E+06,5.00E+06,,37776,,2.00E+07,,233403,3.00E+07,2.00E+06,2658,51542,1.00E+08,233936,9.00E+06,121778,,3.00E+07,7.00E+06,3.00E+06,1.00E+06,5.90E+05,7.00E+06,4.00E+06,3.00E+07,6.64E+05,5.00E+06,4.31E+05,6.46E+05,6.60E+05,5.00E+08,65270,,,1.00E+07,170323,12500,1.00E+07,1.00E+08,5.00E+07,11435,5824,68880,4839,140322,1.00E+07,2.00E+07,,2.00E+08,1.72E+05,9.00E+07,276199,1.00E+06,9.00E+07,65747,2.00E+07,2.00E+08,1.00E+06,4.00E+06,167361,,80261
1996,,,10899,,4.00E+06,39842,3.00E+07,2.00E+06,94173,7.00E+06,,34173,3.00E+07,1.22E+05,128223,1.00E+06,788738,3.00E+06,507903,139030,2.00E+08,26261,1.00E+07,4.00E+06,5.00E+06,4868,933041,41769,604703,5.00E+06,3.00E+06,3.00E+06,6.00E+07,6.00E+06,2.00E+06,2.00E+07,,1.00E+08,1.00E+06,5.00E+07,,,2.00E+06,61160,376167,1.00E+06,3.00E+06,158691,152875,3.00E+06,1.00E+06,,,194046,3.00E+08,3.00E+08,2924,751201,5.00E+08,3.00E+06,,20420,5.00E+07,153818,6.00E+06,,43640,46358,4.00E+06,,28395,7.00E+06,3.00E+06,,,1.00E+08,133014,3.00E+06,86857,12500,1.00E+07,9.62E+05,5.00E+07,4.31E+05,2.17E+05,3.00E+06,7.21E+05,1.00E+07,1.42E+05,1.00E+07,7.46E+04,74201,6.83E+05,2.00E+08,12750,,,1.00E+07,,,4.00E+06,6.00E+07,3.00E+07,15314,,2.21E+04,1.11E+04,145932,9.00E+06,4.00E+07,,3.00E+06,5.24E+04,2.00E+07,196863,207401,2.00E+08,371439,2.00E+07,2.00E+08,680832,3.00E+06,121365,11118,14131
1997,,,,9199,5.00E+06,67664,5.00E+07,6.00E+07,307427,3.00E+07,1.27E+05,9.19E+04,3.00E+07,5.02E+05,1.41E+05,1.00E+06,4.00E+07,7.00E+06,5.54E+04,70215,2.00E+08,,2.00E+06,4.00E+06,1.00E+07,,760270,44689,295365,8.00E+06,4.00E+06,3.00E+06,3.00E+08,2.00E+06,3.00E+06,2.00E+07,,1.00E+08,4.00E+06,4.00E+07,17759,,1.00E+06,88584,198591,2.00E+06,1.00E+06,2990324,142074,7.00E+06,6.90E+05,,,221890,2.00E+08,2.00E+07,12250,464982,3.00E+08,6.00E+06,4409,3533,1.00E+08,2.00E+06,4.00E+06,,9233,82620,2.00E+06,,27125,8.00E+06,8.15E+05,,4.00E+06,2.00E+07,358499,5.00E+06,150256,3147,9.00E+06,1.00E+07,6.00E+07,5.36E+05,9.66E+04,3.50E+04,8.21E+05,1.00E+07,2.06E+06,7.00E+06,8.23E+05,9899,1.00E+06,1.00E+08,,,,1.00E+07,24390,200000,4.00E+06,5.00E+07,3.00E+07,48150,10157,25832,,167764,1.00E+07,3.00E+07,,2.00E+08,5.34E+04,2.00E+07,235548,1.21E+05,6.00E+07,239665,2.00E+07,2.00E+08,725139,1.00E+07,54750,2593,164776
1998,,,6697,,4.00E+06,20053,4.00E+07,8.00E+06,94208,2.00E+07,3.98E+05,6.02E+04,3.00E+07,7.73E+04,4.07E+04,2.00E+06,551853,6.00E+06,165526,104826,1.00E+08,,2.00E+06,325832,2.00E+07,,287633,18312,337916,3.00E+07,2.00E+06,2.00E+06,3.00E+08,2.00E+06,2.00E+07,1.00E+07,,5.00E+07,591615,6.00E+07,11200,,5.03E+05,34487,597660,2.00E+06,2.00E+06,241481,128905,7.38E+05,4.97E+05,,,146488,2.00E+08,2.00E+07,7218,874461,5.00E+08,3.00E+07,2800,,1.00E+08,16000,6.00E+06,,52270,41656,4.08E+05,43000,10841,9E+.6,2.31E+05,,137143,3.00E+07,141747,1.00E+07,61899,18753,3.00E+07,2.00E+06,1.88E+05,6.04E+05,1.75E+05,2.86E+05,1.00E+06,8.00E+06,3.04E+05,7.00E+06,5.68E+05,21007,1.00E+06,4.00E+07,22662,2907,,1.00E+07,65349,6332,8.00E+06,2.00E+08,7.00E+06,216658,11200,37629,12199,32766,5.00E+07,2.00E+07,,2.00E+08,,3.00E+07,373023,4.86E+04,1.00E+08,16922,3.00E+07,2.00E+08,781139,1.00E+07,,6427,38677
1999,6300,,10802,,4.00E+06,34615,2.00E+07,1.00E+07,156091,4.00E+07,55309,2.93E+04,5.00E+07,,2.94E+04,4.12E+03,3053813,1.00E+07,1.82E+04,105885,8.00E+07,75985,3.00E+07,1.73E+05,5.00E+06,,1.00E+06,26059,522540,9.00E+06,5.00E+06,1.00E+08,2.00E+08,1.00E+06,1.00E+06,2.00E+07,55000,5.00E+07,711304,6.00E+07,,,8.72E+05,212325,96822,3.00E+06,5.00E+06,355831,144191,5.32E+04,4.35E+05,,,528085,1.00E+08,1.00E+08,102167,834133,2.00E+08,7.00E+06,2975,8070,3.00E+07,3.19E+04,1.00E+06,,217656,884012,3.00E+07,,,4.00E+06,6.24E+04,,1.00E+06,7.00E+07,516726,3.00E+06,326997,12010,7.00E+07,2.00E+06,6.01E+04,5.78E+05,1.43E+05,,5.95E+05,8.00E+06,1.14E+05,2.00E+06,7.54E+04,,9.50E+04,2.00E+08,404693,12716,,4.00E+07,11367,150000,2.00E+06,2.00E+08,1.00E+07,,,58961,,,1.00E+07,2.00E+07,,7.00E+07,15949,2.00E+07,901162,127337,9.00E+07,20040,1.00E+08,1.00E+08,423723,6.00E+06,,,159022
2000,,,7732,,4.00E+06,36935,8.00E+07,7.00E+06,71952,7.00E+06,1.39E+05,1.07E+05,2.00E+07,1.11E+05,3.16E+04,3.00E+06,,4.00E+06,38542,378338,1.00E+08,26324,4.00E+06,1.00E+06,9.00E+06,,645302,29737,2.00E+06,1.00E+07,2.00E+06,2.00E+06,2.00E+08,1.00E+06,5.00E+07,5.00E+07,,1.00E+08,958031,3.00E+08,60165,,1.00E+06,194723,45645,2.00E+06,2.00E+06,180458,94206,3.74E+04,2.58E+04,,,7.00E+06,1.00E+08,2.00E+07,,2.00E+06,3.00E+08,1.00E+07,19700,3.03E+04,6.00E+06,27529,1.00E+06,2645,,128966,3.00E+07,135681,6201,2.00E+07,5810,5230,170160,3.00E+07,64976,1.00E+06,353018,5600,5.00E+06,8.96E+05,4800,1.26E+05,3.98E+04,,4.81E+05,2.00E+06,1.13E+05,5.00E+06,9.73E+05,,1.36E+04,3.00E+07,18130,27775,,6.00E+06,28912,362273,6.20E+05,1.00E+08,3.00E+07,5016,,44459,19364,49895,3.00E+07,3.00E+06,,2.00E+08,27627,2.00E+07,,,1.00E+07,,3.00E+07,2.00E+08,364972,6.00E+06,,4555,30944
